"filename", "language", "Markdown", "JavaScript", "CSS", "JSON", "HTML", "XML", "comment", "blank", "total"
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\README.md", "Markdown", 38, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\package-lock.json", "JSON", 0, 0, 0, 17637, 0, 0, 0, 1, 17638
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\package.json", "JSON", 0, 0, 0, 42, 0, 0, 0, 1, 43
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\public\assets\chevron-bright.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\public\assets\chevron-dimmed.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\public\assets\comparison-icon.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\public\assets\landing-icon.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\public\assets\magnifying-glass.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\public\assets\timeline-icon.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\public\index.html", "HTML", 0, 0, 0, 0, 13, 0, 10, 1, 24
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\src\App.css", "CSS", 0, 0, 33, 0, 0, 0, 0, 6, 39
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\src\App.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 4, 25
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\src\components\AttributeRadarGraph.css", "CSS", 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\src\components\AttributeRadarGraph.js", "JavaScript", 0, 111, 0, 0, 0, 0, 0, 12, 123
